ID,title,location,price,details,specifications
KICGFXJ,Casa en Venta en Circuito Cerrado Lomas del Guijarro, Colonia Lomas del Guijarro,"
                                       $ 566,638                                                                              ","['   Habitaciones4  ', '  Área400 m2 ']",[]
3IERXRP,SE VENDE CASA LINDA TOTALMENTE REMODELADA EN EL HATILLO, Colonia El Hatillo,"
                                       $ 468,764                                                                              ","['   Habitaciones4  ', '   Baños3  ', '  Área580 m2 ']",[]
U4WPD65,"VENTA DE CASA 650 mts2 MÁS PATIO EN 4,000 vrs2 EN RESIDENCIAL SAN IGNACIO", Residencial San Ignacio,"
                                       $ 1,231,149                                                                              ","['   Habitaciones4  ', '  Área650 m2 ']",[]
8KYC2EC,SE VENDE CASA BONITA CON DISEÑO ACOGEDOR EN EL HATILLO, Colonia El Hatillo,"
                                       $ 618,150                                                                              ","['   Habitaciones3  ', '   Baños3  ', '  Área710 m2 ']",[]
EBJTTSK,VENTA DE CASA EN AMPLIO TERRENO DE 1344 vrs2 EN LOMAS DEL MAYAB, Colonia Lomas del Mayab,"
                                       $ 628,453                                                                              ","['   Habitaciones3  ', '   Baños2  ', '  Área350 m2 ']",[]
EPWW2ZB,SE VENDE CASA PARA EMBAJADA U OFICINAS EN LOMAS DEL GUIJARRO, Colonia Lomas del Guijarro,"
                                       $ 1,854,450                                                                              ","['   Habitaciones6  ', '  Área1893 m2 ']",[]
Z4I5CS7,SE VENDE CASA EN RESIDENCIAL LAS HADAS, Colonia Las Hadas,"
                                       $ 226,655                                                                              ","['   Habitaciones3  ', '   Baños2  ', '  Área275 m2 ']",[]
LJ4GTHX,SE VENDE CASA CON PATIO EN PALMERAS DE SAN IGNACIO, Residencial San Ignacio,"
                                       $ 546,033                                                                              ","['   Habitaciones3  ', '   Baños3  ', '  Área365 m2 ']",[]
OI978ND,VENTA DE CASA EN LOMAS DEL GUIJARRO SUR, Colonia Lomas del Guijarro  Sur,"
                                       $ 376,041                                                                              ","['   Habitaciones3  ', '   Baños3  ', '  Área400 m2 ']",[]
QEMKJAK,"SE VENDE CASA EN REMATE, RESIDENCIAL LOMAS DEL GUIJARRO SUR", Colonia Lomas del Guijarro  Sur,"
                                       $ 1,178,893                                                                              ","['   Habitaciones4  ', '   Baños4  ', '  Área1122 m2 ']",[]
ML9IR5C,VENTA DE CASA EN LOMAS DEL MAYAB, Colonia Lomas del Mayab,"
                                       $ 345,134                                                                              ","['   Habitaciones4  ', '   Baños4  ', '  Área415 m2 ']",[]
2LU8U6Z,SE VENDE CASA CON TERRENO EN LOMAS DEL MAYAB, Colonia Lomas del Mayab,"
                                       $ 628,453                                                                              ","['   Habitaciones3  ', '   Baños2  ', '  Área850 m2 ']",[]
KMWMGZC,SE VENDE CASA HERMOSA EN COLONIA RUBEN DARIO, Colonia Rubén Darío,"
                                       $ 473,915                                                                              ","['   Habitaciones4  ', '   Baños4  ', '  Área490 m2 ']",[]
