location,usd_price,bedrooms,bathrooms,surface_m²,parking
Tegucigalpa,267865.0,5,4.0,220.0,3.0
Boulevard Morazán,239018.0,4,4.0,670.0,3.0
Colonia Residencial Altos del Trapiche,144235.0,4,4.0,190.0,0.0
Carretera a Danlí,535730.0,5,4.0,55904.0,0.0
Colonia Aeropuerto,99889.0,2,2.0,109.0,0.0
Colonia Humuya,215276.0,4,4.0,517.0,3.0
Colonia Residencial Altos del Trapiche,381193.0,3,3.0,333.0,0.0
Colonia Lara,230000.0,4,5.0,350.0,2.0
Colonia Loma Verde,190596.0,3,3.0,220.0,0.0
Residencial San Ignacio,205535.0,3,3.0,170.0,0.0
Residencial San Ignacio,154538.0,3,3.0,145.0,0.0
